,jsonid,label,headline_text,subject,speaker,speakerjobtitle,stateinfo,partyaffiliation,barelytruecounts,falsecounts,halftruecounts,mostlytrueocunts,pantsonfirecounts,context,clean,sentiment_vector,vader_polarity,sentiment_score
3553,2108.json,half-true,Says Bill Whites program to bring dropouts back to school was so successful that almost every city in our state has replicated it.,education,leticia-van-de-putte,Pharmacist,Texas,democrat,2.0,2.0,4.0,1.0,1.0,a speech at the Texas Democratic Party convention,say bill white program bring dropout back school success almost every citi state replica,"[0.0, 0.778, 0.222, 0.5719]",0,0.5719
3629,13140.json,mostly-true,Says MarcoRubio voted to slash school funding by billions of dollars and would eliminate the Department of Education.,education,afscme-people,0,0,none,0.0,0.0,0.0,1.0,0.0,a TV ad,say marcorubio vote slash school fund billion dollar would elimi depart educ,"[0.16, 0.84, 0.0, -0.2732]",0,-0.2732
3633,3411.json,half-true,Seven of the 10 school districts with the lowest graduation rate for African-American boys in the country are in Florida.,education,steve-wise,State Senator,Florida,republican,0.0,1.0,1.0,0.0,0.0,comments on the state Senate floor.,seven school district lowest graduate rate african american boy country florida,"[0.206, 0.794, 0.0, -0.3818]",0,-0.3818
3638,9001.json,half-true,Florida high schools are four out of the top 10 in the entire United States.,education,rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,the State of the State speech,florida high school four top entire unit state,"[0.0, 0.795, 0.205, 0.2023]",0,0.2023
3690,7275.json,mostly-true,"Says a recent study shows Florida students are second in the world in fourth grade reading, behind Singapore.",education,rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a discussion with black lawmakers,say recent study show florida student second world fourth grade read behind singapore,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3761,12280.json,half-true,Says Nevada state Sen. Michael Roberson forced Common Core for Nevada schools.,education,danny-tarkanian,0,Nevada,republican,1.0,0.0,1.0,0.0,0.0,a television ad,say nevada state sen michael robertson forc common core nevada school,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3801,7635.json,half-true,"When the NECAP proficiency test is re-given to the kids the second and third time, harder questions are taken out.",education,eva-marie-mancuso,"Chairwoman, Rhode Island Board of Education",Rhode Island,state-official,0.0,0.0,1.0,0.0,0.0,"an interview on WPRI-TV's ""Newsmakers""",recap profit test given kid second third time harder question taken,"[0.0, 0.775, 0.225, 0.4404]",0,0.4404
3843,13345.json,mostly-true,"We have almost 68,000 Georgia students who are required by law to attend a chronically failing school.",education,nathan-deal,0,0,republican,9.0,5.0,11.0,11.0,0.0,education conference,almost georgia student requir law attend chronic fail school,"[0.304, 0.696, 0.0, -0.5423]",0,-0.5423
3846,9391.json,half-true,Rhode Island has the highest dropout rate in New England at twenty-three percent.,education,clay-pell,Candidate for Rhode Island governor,Rhode Island,democrat,0.0,0.0,1.0,2.0,0.0,a campaign website,rode island highest dropout rate new england twenty three percent,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3942,2538.json,mostly-true,Says Oregon ranks 43rd in education.,education,chris-dudley,Financial adviser,Oregon,republican,0.0,0.0,1.0,1.0,1.0,the KGW/The Oregonian debate,say oregon rank rd educ,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3946,2086.json,mostly-true,It turns out that Texas has an $18 billion budget shortfall and cant afford its new science textbooks.,education,stephen-colbert,0,0,none,1.0,0.0,0.0,2.0,0.0,a segement on The Colbert Report,turn text billion budget shortfall cant afford new science textbook,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3962,4124.json,mostly-true,"By any measure, New Jersey has one of the most segregated school systems in the country.",education,david-sciarra,0,New Jersey,none,0.0,1.0,0.0,1.0,0.0,a Star-Ledger column,measure new jersey one degree school system country,"[0.0, 1.0, 0.0, 0.0]",0,0.0
4012,10970.json,mostly-true,Texas now has the second-highest high school graduation rate in the country. And it has the highest graduation rate for African Americans and Hispanics.,education,rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,his declaration for president,text second highest high school graduate rate country highest graduate rate african american hispana,"[0.0, 1.0, 0.0, 0.0]",0,0.0
4022,9254.json,barely-true,David Perdue supports Common Core,education,david-perdue-files,0,Georgia,none,1.0,0.0,0.0,0.0,0.0,a website,david perdu support common core,"[0.0, 0.597, 0.403, 0.4019]",0,0.4019
4072,11016.json,half-true,Less than 1 percent of all the education dollars that we spend are spent on private (school) voucher programs.,education,ted-kanavas,Lobbyist and pundit,Wisconsin,republican,0.0,0.0,1.0,0.0,0.0,a political talk show,le percent educ dollar spend spent privat school voucher program,"[0.0, 1.0, 0.0, 0.0]",0,0.0
4076,6242.json,false,Says New Jerseys tenure law has now been reformed to say that if teachers get two years of partially effective or ineffective ratings they lose tenure.,education,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a speech at the Brookings Institution,say new jersey tenure law reform say teacher get two year partial effect effect rate lose tenure,"[0.144, 0.856, 0.0, -0.4019]",0,-0.4019
4112,6474.json,half-true,"Says about 100,000 kids in this country leave their home state and go to another state to be educated. Out of that 100,000 young people, 30,000 of them are from New Jersey, by far the largest amount.",education,lou-greenwald,State Assemblyman,New Jersey,democrat,0.0,1.0,1.0,2.0,2.0,an interview with Blue Jersey,say kid country leav home state go anoth state educ young peopl new jersey far largest amount,"[0.0, 1.0, 0.0, 0.0]",0,0.0
4134,9125.json,true,The Austin Independent School Districts graduation rate reached an all-time high of 82.5 percent in 2012.,education,meria-carstarphen,"Superintendent, Austin Independent School District",Texas,none,0.0,1.0,0.0,0.0,0.0,press release,austin independ school district graduate rate reach time high percent,"[0.0, 0.891, 0.109, 0.0258]",0,0.0258
4200,5865.json,half-true,"Says the average Ohio student graduates from a four-year college or university with nearly $27,000 in tuition debt.",education,sherrod-brown,U.S. Senator,Ohio,democrat,3.0,4.0,5.0,8.0,1.0,a news release,say averag ohio student graduate four year college univers near tuition debt,"[0.185, 0.815, 0.0, -0.3612]",0,-0.3612
4254,2992.json,true,"You can go to Georgia and make about $6,000 more a year as a teacher.",education,martin-kiar,state representative,Florida,democrat,0.0,0.0,0.0,0.0,0.0,a meeting,go georgia make year teacher,"[0.0, 1.0, 0.0, 0.0]",0,0.0
4264,6677.json,mostly-true,Says Obama doubled funding for the Pell Grant.,education,kal-penn,actor,0,democrat,0.0,0.0,0.0,1.0,0.0,his Democratic National Convention speech,say obama doubl fund pell grant,"[0.0, 0.667, 0.333, 0.3612]",0,0.3612
4280,3643.json,half-true,"Per-student K-12 state funding for Portland Public Schools has dipped from $6,036 in the 2007-2008 school year to $5,644 in the 2010-2011 school year",education,portland-public-schools,School district,Oregon,none,0.0,0.0,1.0,1.0,0.0,a mailer,per student k state fund portland public school dip school year school year,"[0.0, 1.0, 0.0, 0.0]",0,0.0
4324,10037.json,mostly-true,The Common Core was not put together by the Department of Education in Washington. It was put together by governors and by states.,education,kay-hagan,Former U.S. Senator,North Carolina,democrat,1.0,0.0,1.0,2.0,0.0,a debate ,common core put togeth depart educ washington put togeth governor state,"[0.0, 1.0, 0.0, 0.0]",0,0.0
4391,11287.json,false,Says Bernie Sanders opposes requiring all children to have a K-12 education.,education,viral-image,0,0,none,5.0,5.0,0.0,3.0,15.0,a shareable graphic on the Web,say bernie sander oppos requir child k educ,"[0.0, 1.0, 0.0, 0.0]",0,0.0
4395,107.json,half-true,"Rural schools ""face the highest dropout rates, the lowest college enrollment rates, have the lowest average teacher salaries...""",education,john-edwards,former senator,North Carolina,democrat,0.0,2.0,4.0,4.0,1.0,"Des Moines, Iowa.",rural school face highest dropout rate lowest college enroll rate lowest averag teacher salary,"[0.302, 0.698, 0.0, -0.6369]",0,-0.6369
4504,8518.json,half-true,"Says Chris Christie fired 6,000 teachers.",education,ed-schultz,MSNBC television host,0,none,3.0,1.0,4.0,1.0,2.0,"a broadcast of the ""Ed Schultz Show""",say chris christi fire teacher,"[0.375, 0.625, 0.0, -0.34]",0,-0.34
4556,10428.json,true,"The merger of Georgia State University and Georgia Perimeter College will make GSU one of the largest universities in the nation, with more than 54,000 students.",education,gsu-alumni-association,0,0,none,0.0,0.0,0.0,0.0,0.0,mass email,merger georgia state univers georgia permet college make su one largest univers nation student,"[0.0, 1.0, 0.0, 0.0]",0,0.0
4558,11504.json,barely-true,"In Florida, we have the lowest in-state tuition of any state.",education,jeb-bush,0,Florida,republican,17.0,5.0,17.0,24.0,2.0,the CNBC GOP presidential debate,florida lowest state tuition state,"[0.394, 0.606, 0.0, -0.3818]",0,-0.3818
4653,4782.json,half-true,"By 2014, there will be one administrator for every teacher on college campuses in the United States.",education,newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,16.0,15.0,20.0,10.0,11.0,a Republican presidential debate in Michigan,one administr every teacher college campus unit state,"[0.0, 1.0, 0.0, 0.0]",0,0.0
4659,3114.json,mostly-true,As many as a quarter of our students arent even finishing high school.,education,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,the State of the Union address,mani quarter student arent even finish high school,"[0.0, 1.0, 0.0, 0.0]",0,0.0
4739,150.json,true,"We had a No Child Left Behind a similar piece of legislation in our state a number of years ago, well before the federal law. And it's had a big impact here. It's improved schools.",education,mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,an interview,child left behind similar piece legis state number year ago well feder law big impact improv school,"[0.0, 0.815, 0.185, 0.34]",0,0.34
4782,9660.json,half-true,Says Rick Scott cut Bright Futures scholarships in half.,education,charlie-crist,0,Florida,democrat,15.0,9.0,20.0,19.0,2.0,a TV ad,say rick scott cut bright futur scholarship half,"[0.191, 0.545, 0.264, 0.2023]",0,0.2023
4788,3874.json,barely-true,We have the best schools in the United States.,education,charlotte-nash,0,Georgia,republican,1.0,0.0,1.0,2.0,0.0,a speech,best school unit state,"[0.0, 0.417, 0.583, 0.6369]",1,0.6369
4824,6609.json,mostly-true,Says under the Romney-Ryan budget ... the American Opportunity Tax Credit for college tuition would be eliminated.,education,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a campaign email to New Hampshire press Aug. 21,say romney ryan budget american opportun tax credit college tuition would elimi,"[0.0, 0.809, 0.191, 0.3818]",0,0.3818
4851,8255.json,false,One out of every three students currently today is ready for college before they go there.,education,will-weatherford,State Representative,Florida,republican,2.0,3.0,4.0,3.0,0.0,at Suncoast Tiger Bay luncheon,one every three student current today ready college go,"[0.0, 0.762, 0.238, 0.3612]",0,0.3612
4927,6808.json,mostly-true,"George Allen voted to end Pell Grants for 84,000 students.",education,tim-kaine,U.S. Senator,Virginia,democrat,8.0,3.0,15.0,15.0,0.0,a news release.,george allen vote end pell grant student,"[0.0, 0.706, 0.294, 0.3612]",0,0.3612
4985,2496.json,half-true,We now have our kids go to school about a month less than most other advanced countries.,education,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a TV interview,kid go school month le advance country,"[0.0, 1.0, 0.0, 0.0]",0,0.0
4988,10653.json,mostly-true,"Says Gov. Scott Walkers proposed reduction in university spending is about the size of the one under Democratic Gov. Jim Doyle, but Democrats didnt treat Doyles cut as so dire.",education,robin-vos,Wisconsin Assembly speaker,Wisconsin,republican,0.0,3.0,2.0,5.0,1.0,an interview,say gov scott walker propos reduce univers spend size one democrat gov jim doll democrat didn treat doll cut dire,"[0.206, 0.685, 0.109, -0.34]",0,-0.34
5066,3268.json,pants-fire,Our children do not spend any time in school learning about our own U.S. Constitution.,education,dan-flynn,State Representative,Texas,republican,1.0,0.0,0.0,0.0,1.0,a column,child spend time school learn u constitute,"[0.0, 1.0, 0.0, 0.0]",0,0.0
5125,11299.json,true,Georgias CRCT set some of the lowest expectations for student proficiency in the nation.,education,richard-woods,state Superintendent,Georgia,republican,0.0,0.0,0.0,0.0,0.0,press release,georgia crit set lowest expect student profit nation,"[0.226, 0.522, 0.252, 0.0772]",0,0.0772
5135,4111.json,half-true,95 percent of teachers and principals are not implicated in the [Atlanta Public Schools cheating scandal] report at all.,education,shirley-franklin,0,Georgia,democrat,0.0,0.0,1.0,0.0,1.0,a television interview,percent teacher principe implica atlanta public school cheat scandal report,"[0.424, 0.576, 0.0, -0.7096]",0,-0.7096
5146,8753.json,true,"What do Rutgers University, Kean University, Montclair State University, New Jersey City University, Stockton College, Rowan University and William Paterson all have in common? They all graduate less than 50 percent of their students within four years.",education,joseph-cryan,State Assemblyman,New Jersey,democrat,1.0,1.0,0.0,0.0,0.0,an Assembly session,rugger univers mean univers montclair state univers new jersey citi univers stockton college rowan univers william paterson common graduate le percent student within four year,"[0.0, 1.0, 0.0, 0.0]",0,0.0
5215,4798.json,false,"Says the state auditor found that 37 percent of the 428,000 students receiving free and reduced-price lunches are ineligible.",education,michael-doherty,0,0,republican,1.0,3.0,1.0,1.0,0.0,a speech before the East Jersey Tea Party,say state auditor found percent student receiv free reduc price lunch inkling,"[0.0, 0.769, 0.231, 0.5106]",0,0.5106
5259,4477.json,true,"In 1976, the first year that Pell Grants were fully funded, a full Pell Grant paid 72 percent of the cost of attendance at a typical four-year public college. Today, a full Pell Grant covers just 34 percent of those costs.",education,sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2.0,3.0,2.0,7.0,0.0,a Senate speech ,first year pell grant full fund full pell grant paid percent cost attend topic four year public college today full pell grant cover percent cost,"[0.0, 0.746, 0.254, 0.7579]",0,0.7579
5266,6965.json,true,Says fewer than 30 percent of Texas college students graduate in four years and only 58 percent graduate within six years.,education,rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,a press conference.,say fewer percent text college student graduate four year percent graduate within six year,"[0.0, 1.0, 0.0, 0.0]",0,0.0
5268,7200.json,half-true,"The average kid comes out of Virginia colleges with about $25,000-plus in debt.",education,bob-mcdonnell,Governor,Virginia,republican,6.0,5.0,7.0,6.0,3.0,a news conference.,averag kid come virginia college plus debt,"[0.294, 0.706, 0.0, -0.3612]",0,-0.3612
5301,3071.json,true,Says hes the first Aggie governor of Texas.,education,rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,his inaugural address.,say he first agri governor text,"[0.0, 1.0, 0.0, 0.0]",0,0.0
5305,4380.json,true,Says New Jerseys public school students have the best Advanced Placement scores in the nation.,education,new-jersey-education-association,0,0,none,0.0,0.0,1.0,0.0,0.0,NJEA's website,say new jersey public school student best advance placement score nation,"[0.0, 0.704, 0.296, 0.6369]",0,0.6369
5315,4557.json,false,Gains in Atlanta Public Schools scores on a national standardized test lend credence to dramatic score increases on state tests.,education,beverly-hall,0,0,none,0.0,2.0,0.0,0.0,1.0,a commentary published in Education Week,gain atlanta public school score nation standard test lend credence drama score increas state test,"[0.0, 0.805, 0.195, 0.5267]",0,0.5267
5345,4847.json,half-true,"By fiscal year 2013, the state is expected to wipe through [HOPE scholarship] reserve funds.",education,stacey-evans,attorney,Georgia,democrat,0.0,0.0,1.0,0.0,0.0,an op-ed,fiscal year state expect wipe hope scholarship reserve fund,"[0.0, 0.734, 0.266, 0.4404]",0,0.4404
5491,3689.json,false,"At Texas AM University, only 49 out of 3,000 faculty members brought in enough money to pay for their salaries and overhead over the past five years.",education,dick-armey,0,0,republican,0.0,2.0,1.0,0.0,0.0,an oped column.,text univers faculty member brought enough money pay salary overhead past five year,"[0.104, 0.896, 0.0, -0.1027]",0,-0.1027
5505,8355.json,half-true,On support for Common Core education standards,education,john-barge,0,Georgia,republican,0.0,0.0,0.0,1.0,0.0,a website post,support common core educ standard,"[0.0, 0.597, 0.403, 0.4019]",0,0.4019
5508,7593.json,false,Says the president of the University of Texas has raised four-year student graduation rates to 75 percent.,education,matt-mackowiak,Consultant,Texas,republican,2.0,1.0,0.0,0.0,0.0,an opinion colulmn.,say presid univers text rais four year student graduate rate percent,"[0.0, 1.0, 0.0, 0.0]",0,0.0
5510,2978.json,true,Texas children may have a teacher who never spent one minute practicing teaching.,education,mike-villarreal,Small business owner,Texas,democrat,1.0,0.0,1.0,2.0,0.0,a press release,text child may teacher never spent one minut practic teach,"[0.0, 1.0, 0.0, 0.0]",0,0.0
5636,7965.json,mostly-true,Says student loan interest rates will double from 3.4 percent to 6.8 percent July 1.,education,gene-green,U.S. Representative,Texas,democrat,0.0,0.0,0.0,1.0,0.0,a press release,say student loan interest rate doubl percent percent juli,"[0.0, 0.727, 0.273, 0.4588]",0,0.4588
5643,4021.json,true,"Says that as a gubernatorial candidate, Chris Christie promised no school cuts.",education,stephen-sweeney,State Senator,0,democrat,1.0,2.0,3.0,1.0,0.0,a press release,say gubernatorial candid chris christi promis school cut,"[0.231, 0.769, 0.0, -0.2732]",0,-0.2732
5685,106.json,true,"Look, I believe in accountability. In 1983, I led the effort in Arkansas to improve our schools.",education,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,a forum hosted by Slate/Yahoo/Huffington Post.,look believ account led effort arkansas improv school,"[0.0, 1.0, 0.0, 0.0]",0,0.0
5700,2110.json,true,Education Week rates Ohio schools in the top five in the nation.,education,yvette-mcgee-brown,Ohio Supreme Court justice,Ohio,democrat,0.0,0.0,0.0,0.0,0.0,a campaign speech,educ week rate ohio school top five nation,"[0.0, 0.795, 0.205, 0.2023]",0,0.2023
5744,8468.json,mostly-true,We have about six school districts that are in school 140 to 150 days this year.,education,john-barge,0,Georgia,republican,0.0,0.0,0.0,1.0,0.0,a town hall meeting,six school district school day year,"[0.0, 1.0, 0.0, 0.0]",0,0.0
5787,8287.json,half-true,Were 48th in K-12 funding and 50th in higher education.,education,nan-rich,candidate for governor,Florida,democrat,1.0,0.0,1.0,3.0,0.0,"a ""Tampa Tribune"" blog",th k fund th higher educ,"[0.0, 1.0, 0.0, 0.0]",0,0.0
5859,4107.json,mostly-true,House Bill 2301 never had a public hearing,education,oregon-education-association,Oregon teachers union,Oregon,none,0.0,0.0,0.0,1.0,0.0,a blog posting,hous bill never public hear,"[0.0, 1.0, 0.0, 0.0]",0,0.0
5931,710.json,barely-true,"Education Week says Obama 'hasn't made a significant mark on education,' is 'elusive' on accountability, and a 'staunch defender of the existing public school monopoly.'",education,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,in a television ad,educ week say obama made significa mark educ plus account staunch defend exist public school monopoly,"[0.0, 1.0, 0.0, 0.0]",0,0.0
5968,1818.json,false,"In the history department at the University of Texas, out of 50 registered voters, only one is a Republican.",education,robert-koons,philosophy professor,0,republican,0.0,1.0,0.0,0.0,0.0,an opinion piece published in the Austin American-Statesman,histori depart univers text resist voter one republican,"[0.0, 1.0, 0.0, 0.0]",0,0.0
6028,7477.json,half-true,Says his proposed education spending is the highest state funding level in Florida history.,education,rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,his State of the State address,say propos educ spend highest state fund level florida histori,"[0.0, 1.0, 0.0, 0.0]",0,0.0
6242,8948.json,true,"Since 2009, Georgias public schools have lost nearly 9,000 classroom teachers while the number of students has gone up.",education,jason-carter,State Senator,Georgia,democrat,1.0,0.0,2.0,1.0,0.0,press statement,sinc georgia public school lost near classroom teacher number student gone,"[0.183, 0.714, 0.103, -0.25]",0,-0.25
6268,8756.json,half-true,We expanded charter schools.,education,bob-mcdonnell,Governor,Virginia,republican,6.0,5.0,7.0,6.0,3.0,a speech.,expand charter school,"[0.0, 0.465, 0.535, 0.3182]",1,0.3182
6277,9173.json,half-true,Says restoring Georgia pre-k to a 180-day program was a real result of his leadership.,education,nathan-deal,0,0,republican,9.0,5.0,11.0,11.0,0.0,campaign web site,say restor georgia pre k day program real result leadership,"[0.0, 1.0, 0.0, 0.0]",0,0.0
6399,3013.json,mostly-true,"In 1998, nearly half of Floridas fourth-graders were functionally illiterate. Today, 72% of them can read.",education,jeb-bush,0,Florida,republican,17.0,5.0,17.0,24.0,2.0,a Wall Street Journal op-ed piece.,near half florida fourth grader function illite today read,"[0.0, 1.0, 0.0, 0.0]",0,0.0
6448,6914.json,true,"Tennessee students now cover about 67 percent of the cost of their education at public universities, and some 60 percent at community colleges.",education,john-g-morgan,Chancellor to Tennessee Board of Regents,Tennessee,none,0.0,0.0,0.0,0.0,0.0,Testimoney to the U.S. Senate Education Committee,tennessee student cover percent cost educ public univers percent community college,"[0.0, 1.0, 0.0, 0.0]",0,0.0
6461,1891.json,pants-fire,Georgia could get money for schools by scraping the gold off the gold dome of the state Capitol.,education,roy-barnes,Attorney,Georgia,democrat,0.0,0.0,3.0,3.0,1.0, a speech,georgia could get money school scrape gold gold dome state capitol,"[0.0, 1.0, 0.0, 0.0]",0,0.0
6558,13292.json,pants-fire,"Donald Trumps education plan to dramatically slash funding for public education would fire 49,000 Texas teachers.",education,progress-texas,0,Texas,none,3.0,0.0,1.0,0.0,2.0,a blog post,donald trump educ plan drama slash fund public educ would fire text teacher,"[0.29, 0.71, 0.0, -0.5423]",0,-0.5423
6595,5953.json,false,On allowing Shelby Countys schools merger commission to finish work before allowing any new merger legislation.,education,bill-haslam,Governor,Tennessee,republican,0.0,1.0,1.0,0.0,0.0,signing new schools legislation.,allow shelby county school merger commits finish work allow new merger legis,"[0.0, 0.647, 0.353, 0.4404]",0,0.4404
6657,7296.json,true,We have the fourth highest in-state tuition for public universities in the country.,education,maggie-hassan,Candidate for governor,New Hampshire,democrat,1.0,2.0,2.0,4.0,0.0,her inauguration speech becoming NH governor,fourth highest state tuition public univers country,"[0.0, 1.0, 0.0, 0.0]",0,0.0
6677,6176.json,mostly-true,Austin is the biggest city in America with a Tier One research university (UT-Austin) but without a medical school.,education,austin-fund-quality-healthcare,Group,Texas,none,0.0,0.0,0.0,1.0,0.0,0,austin biggest citi america tier one research univers ut austin without medic school,"[0.0, 1.0, 0.0, 0.0]",0,0.0
6696,723.json,barely-true,"McCain ""voted to cut education funding, against accountability standards. He even proposed abolishing the Department of Education.""",education,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a TV ad,mccain vote cut educ fund account standard even propos abolish depart educ,"[0.16, 0.84, 0.0, -0.2732]",0,-0.2732
6852,3420.json,true,Georgia still has one of the richest programs in terms of scholarships for students to go to college.,education,nathan-deal,0,0,republican,9.0,5.0,11.0,11.0,0.0,a radio interview,georgia still one richest program term scholarship student go college,"[0.0, 0.726, 0.274, 0.5267]",0,0.5267
6853,9153.json,mostly-true,"In order to pass the CRCT in Georgia, you simply have to get half of the answers correct.",education,alisha-thomas-morgan,0,Georgia,democrat,0.0,0.0,0.0,1.0,0.0,a speech,order pas crit georgia simply get half answer correct,"[0.0, 1.0, 0.0, 0.0]",0,0.0
6863,1170.json,false,A scheduled speech by President Barack Obama will be the first time an American president has spoken directly to the nation's school children about persisting and succeeding in school.,education,arne-duncan,U.S. Secretary of Education,Illinois,democrat,1.0,2.0,1.0,2.0,0.0,a letter to principals,schedule speech presid barack obama first time american presid spoken direct nation school child persist succeed school,"[0.0, 0.833, 0.167, 0.4939]",0,0.4939
6879,2433.json,half-true,"I have given $30,000 of my unused travel expenses over the years to supplement the school systems general budget.",education,sarah-copelin-wood,0,0,none,0.0,0.0,1.0,0.0,0.0,a newspaper article,given onus travel expense year supplement school system general budget,"[0.0, 1.0, 0.0, 0.0]",0,0.0
6938,8517.json,half-true,"Charlie Crist stopped layoffs of some 20,000 school teachers during the global economic meltdown.",education,charlie-crist,0,Florida,democrat,15.0,9.0,20.0,19.0,2.0,a speech announcing his candidacy for governor,charlie crist stop layoff school teacher global econom meltdown,"[0.216, 0.784, 0.0, -0.296]",0,-0.296
6945,244.json,half-true,"Says he has ""the most impressive education record"" of the Republican candidates.",education,mike-huckabee,author,Arkansas,republican,12.0,5.0,9.0,3.0,4.0,"a debate in Des Moines, Iowa",say impress educ record republican candid,"[0.0, 0.633, 0.367, 0.4404]",0,0.4404
6999,11195.json,barely-true,Says Marco Rubios proposed college affordability overhaul would specifically benefit for-profit colleges.,education,american-bridge-21st-century,0,0,democrat,2.0,1.0,0.0,3.0,0.0,a press release,say marco rubio propos college afford overhaul would specif benefit profit college,"[0.0, 0.629, 0.371, 0.7096]",0,0.7096
7045,10179.json,false,"In K-12 education, our kids are scoring at the bottom of science and mathematics right now in the industrialized world -- at the bottom.",education,dave-brat,College professor,Virginia,republican,2.0,5.0,0.0,2.0,0.0,a debate,k educ kid score bottom science mathematic right industry world bottom,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7078,6107.json,mostly-true,Say Portland Public Schools central administration makes up less than 4 percent of the staff.,education,portland-public-schools,School district,Oregon,none,0.0,0.0,1.0,1.0,0.0,a guest column,say portland public school central administr make le percent staff,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7104,7945.json,true,Says proposed teacher contract would layer on more restrictive rules.,education,portland-public-schools,School district,Oregon,none,0.0,0.0,1.0,1.0,0.0,an opinion piece.,say propos teacher contract would layer restrict rule,"[0.271, 0.729, 0.0, -0.3818]",0,-0.3818
7190,3316.json,barely-true,Some of our states educational administrators joined the feds in seeking to mandate Arabic classes for Texas children.,education,chuck-norris,0,Texas,republican,1.0,0.0,0.0,0.0,0.0,an opinion column,state educ administr join fed seek mandat arab class text child,"[0.0, 0.82, 0.18, 0.296]",0,0.296
7259,1845.json,half-true,A Houston school district analysis found that the (State Board of Education) more than quadrupled the number of historical figures students must learn about.,education,kathy-miller,"President, Texas Freedom Network",0,none,0.0,0.0,1.0,0.0,0.0,an op-ed article,houston school district analysis found state board educ quadruple number histor figure student must learn,"[0.0, 0.915, 0.085, 0.0772]",0,0.0772
7293,8258.json,half-true,"Pending a federal waiver, the 2013 Legislature eliminated the overtesting of students in grades 3-8 by decreasing the number of tests from 17 to 8.",education,jason-isaac,Transportation consultant,Texas,republican,2.0,0.0,1.0,0.0,1.0,a published commentary,pend feder waiver legislature elimi overtest student grade decrease number test,"[0.0, 0.885, 0.115, 0.0772]",0,0.0772
7305,3174.json,false,United States students are achieving at number 25 out of 29 developing countries when it comes to science and math.,education,rebecca-kleefisch,Candidate for lieutenant governor,Wisconsin,republican,1.0,3.0,4.0,0.0,1.0,a news conference,unit state student achiev number develop country come science math,"[0.0, 0.874, 0.126, 0.0772]",0,0.0772
7369,10171.json,mostly-true,Nathan Deal saved the HOPE scholarship program.,education,zell-miller,0,Georgia,none,0.0,1.0,0.0,2.0,0.0,television ad,nathan deal save hope scholarship program,"[0.0, 0.396, 0.604, 0.7269]",1,0.7269
7408,6075.json,true,Says only 18 percent of Portland elementary schools have art instruction compared to 83 percent nationally.,education,sam-adams,Mayor of Portland,Oregon,democrat,3.0,2.0,5.0,2.0,0.0,in a tweet.,say percent portland elementary school art instruct compar percent nation,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7431,6596.json,half-true,"In Massachusetts, Gov. Romney narrowed the gap between students of different races.",education,jeb-bush,0,Florida,republican,17.0,5.0,17.0,24.0,2.0,a convention speech,massachusetts gov romney narrow gap student differ race,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7483,2890.json,true,The tuitions in Virginia colleges...have doubled -- 100 percent -- in the last 10 years.,education,bob-mcdonnell,Governor,Virginia,republican,6.0,5.0,7.0,6.0,3.0,0,tuition virginia college doubl percent last year,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7493,2896.json,mostly-true,Providence teachers can go five or six years without an evaluation.,education,angel-taveras,Mayor of Providence,Rhode Island,democrat,2.0,1.0,2.0,2.0,0.0,an appearance on WPRI-12's Newsmakers,provid teacher go five six year without eval,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7608,5173.json,mostly-true,One generation ago we led the world in college graduation. Were 16th today.,education,arne-duncan,U.S. Secretary of Education,Illinois,democrat,1.0,2.0,1.0,2.0,0.0,a town hall-style meeting,one generat ago led world college graduate th today,"[0.0, 1.0, 0.0, 0.0]",0,0.0
